x,FM,FUC,PMC
15.9823,0.89251,1.00327,0.98537
15.9907,0.89254,1.00326,0.98537
16.0275,0.8927,1.0032,0.98534
18.0018,0.89902,1.00162,0.98224
18.0096,0.89903,1.00163,0.98222
18.0463,0.89906,1.00165,0.98208
19.9825,0.89577,1.00331,0.97395
19.9885,0.89575,1.0033,0.97394
20.0669,0.89549,1.00326,0.97379
22.0011,0.88925,1.00001,0.97072
22.0073,0.88924,1.00001,0.97068
22.0476,0.88914,1,0.97047
23.9823,0.89251,1.00315,0.95344
24.0631,0.89317,1.00325,0.95277
24.0669,0.8932,1.00326,0.95274
26.0096,0.90724,1.00163,0.93914
26.0405,0.90717,1.00156,0.93886
26.1191,0.90689,1.00139,0.93811
27.9823,0.89251,0.9999,0.91748
28.0286,0.89267,1,0.91715
28.0603,0.89281,1.00007,0.91694
30.0028,0.89202,1.00041,0.91205
30.0393,0.89088,1.00008,0.9119
30.0476,0.89061,1,0.91186
32.0188,0.7564,0.95278,0.87134
32.0479,0.75407,0.9517,0.86999
32.0629,0.75288,0.95114,0.86929
33.9817,0.63518,0.87781,0.76704
34.0298,0.63323,0.87645,0.76547
34.0382,0.6329,0.87622,0.76521
35.9967,0.58143,0.85029,0.76561
36.0172,0.58103,0.85016,0.76594
36.087,0.57965,0.84974,0.7671
