x,FM,FUC,PMC
15.9684,0.66129,0.66936,0.90328
15.969,0.66129,0.66935,0.90328
16.0251,0.66125,0.66926,0.90323
17.9369,0.65973,0.66916,0.9
17.995,0.65968,0.66935,0.89982
17.9957,0.65968,0.66935,0.89982
20.0216,0.65806,0.68064,0.89361
20.0234,0.65806,0.68065,0.8936
20.0779,0.65803,0.68089,0.89355
21.9718,0.65645,0.68107,0.8996
22.0287,0.65635,0.68077,0.9
22.0501,0.65631,0.68065,0.90015
23.9613,0.65051,0.66935,0.90427
24.0557,0.65009,0.66947,0.90323
24.0746,0.65,0.6695,0.90299
25.9476,0.64032,0.6805,0.87541
25.989,0.64015,0.68065,0.87554
26.0421,0.63993,0.6808,0.87581
27.974,0.63548,0.67903,0.91596
27.9774,0.63548,0.67903,0.91598
27.9955,0.63547,0.67905,0.91613
29.9816,0.63391,0.68821,0.88387
30.0007,0.63387,0.68831,0.88342
30.0814,0.63369,0.68871,0.88158
32.027,0.62742,0.69194,0.85019
32.0319,0.62741,0.69194,0.85013
32.044,0.62738,0.69192,0.85
34.0203,0.62581,0.69032,0.83414
34.0536,0.62581,0.69045,0.83396
34.0695,0.62581,0.69051,0.83387
35.9337,0.62581,0.70806,0.8261
35.9656,0.62581,0.70846,0.82599
36.0192,0.62581,0.70911,0.82581
