1,3,5,-1
1,3,4,-1
1,3,5,-1
1,3,4,-1
1,2,-1,-1
1,3,5,-1
1,2,-1,-1
1,2,-1,-1
1,2,-1,-1
1,3,5,-1
1,2,-1,-1
1,2,-1,-1
1,3,5,-1
1,2,-1,-1
1,2,-1,-1
1,3,4,-1
1,2,-1,-1
1,3,5,-1
1,2,-1,-1
1,2,-1,-1
1,2,-1,-1
1,3,5,-1
1,3,5,-1
1,3,5,-1
1,2,-1,-1
1,3,5,-1
1,3,6,8
1,2,-1,-1
1,2,-1,-1
1,2,-1,-1
1,3,5,-1
1,3,6,8
1,2,-1,-1
1,3,5,-1
1,3,5,-1
1,3,4,-1
1,3,5,-1
1,3,6,8
1,2,-1,-1
1,2,-1,-1
1,2,-1,-1
1,2,-1,-1
1,3,5,-1
1,3,5,-1
1,3,5,-1
1,2,-1,-1
1,3,4,-1
1,3,4,-1
1,3,6,8
1,3,5,-1
1,3,5,-1
1,3,6,7
1,3,4,-1
1,2,-1,-1
1,3,5,-1
1,3,5,-1
1,2,-1,-1
1,2,-1,-1
1,3,5,-1
1,2,-1,-1
1,3,5,-1
1,3,5,-1
1,3,5,-1
1,2,-1,-1
1,3,5,-1
1,3,4,-1
1,3,5,-1
1,2,-1,-1
1,3,5,-1
1,3,5,-1
1,3,5,-1
1,3,5,-1
1,3,6,8
1,2,-1,-1
1,3,5,-1
1,3,4,-1
1,3,6,8
1,3,5,-1
1,3,5,-1
1,2,-1,-1
1,3,4,-1
1,3,4,-1
1,2,-1,-1
1,3,4,-1
1,3,5,-1
1,2,-1,-1
1,2,-1,-1
1,3,5,-1
1,3,4,-1
1,2,-1,-1
1,2,-1,-1
1,3,5,-1
1,3,5,-1
1,3,4,-1
1,3,6,7
1,2,-1,-1
1,2,-1,-1
1,2,-1,-1
1,3,4,-1
1,3,5,-1
1,3,5,-1
1,3,5,-1
1,3,4,-1
1,2,-1,-1
1,3,5,-1
1,2,-1,-1
1,3,5,-1
1,3,5,-1
1,2,-1,-1
1,2,-1,-1
1,3,6,8
1,2,-1,-1
1,3,6,7
1,3,4,-1
1,3,5,-1
1,3,6,7
1,3,5,-1
1,2,-1,-1
1,2,-1,-1
1,2,-1,-1
1,3,5,-1
1,3,5,-1
1,3,4,-1
1,2,-1,-1
1,3,4,-1
1,3,5,-1
1,3,5,-1
1,2,-1,-1
1,3,6,8
1,2,-1,-1
1,3,5,-1
1,2,-1,-1
1,3,6,8
1,3,5,-1
1,2,-1,-1
1,2,-1,-1
1,3,5,-1
1,3,5,-1
1,3,6,8
1,2,-1,-1
1,3,6,8
1,2,-1,-1
1,3,5,-1
1,3,5,-1
1,3,4,-1
1,2,-1,-1
1,3,5,-1
1,3,5,-1
1,2,-1,-1
1,3,5,-1
1,2,-1,-1
1,3,5,-1
1,3,5,-1
1,3,6,7
1,2,-1,-1
1,3,5,-1
1,3,5,-1
1,2,-1,-1
1,3,5,-1
1,3,5,-1
1,3,4,-1
1,2,-1,-1
1,2,-1,-1
1,3,5,-1
1,3,5,-1
1,3,4,-1
1,3,6,7
1,3,4,-1
1,3,6,7
1,3,5,-1
1,3,6,7
1,2,-1,-1
1,3,4,-1
1,2,-1,-1
1,2,-1,-1
1,3,4,-1
1,3,5,-1
1,2,-1,-1
1,3,5,-1
1,3,5,-1
1,3,5,-1
1,3,6,7
1,3,5,-1
1,2,-1,-1
1,3,5,-1
1,2,-1,-1
1,2,-1,-1
1,3,5,-1
1,3,5,-1
1,2,-1,-1
1,3,5,-1
1,3,5,-1
1,2,-1,-1
1,2,-1,-1
1,2,-1,-1
1,2,-1,-1
1,3,5,-1
1,3,5,-1
1,3,5,-1
1,3,5,-1
1,3,6,7
1,2,-1,-1
1,3,5,-1
1,3,5,-1
1,3,5,-1
1,3,5,-1
1,2,-1,-1
1,3,6,7
1,3,4,-1
1,3,5,-1
1,3,4,-1
1,3,5,-1
1,3,5,-1
1,3,5,-1
1,2,-1,-1
1,3,4,-1
1,3,5,-1
1,2,-1,-1
1,3,4,-1
1,3,6,8
1,3,5,-1
1,3,5,-1
1,3,5,-1
1,3,5,-1
1,3,6,7
1,2,-1,-1
1,3,5,-1
1,2,-1,-1
1,2,-1,-1
1,3,5,-1
1,2,-1,-1
1,3,5,-1
1,3,6,7
1,2,-1,-1
1,3,5,-1
1,3,6,7
1,3,5,-1
1,3,4,-1
1,3,4,-1
1,3,5,-1
1,2,-1,-1
1,2,-1,-1
1,3,5,-1
1,3,5,-1
1,3,5,-1
1,3,6,7
1,3,5,-1
1,3,5,-1
1,3,6,8
1,3,5,-1
1,3,6,8
1,2,-1,-1
1,3,6,8
1,3,6,7
1,3,5,-1
1,3,4,-1
1,3,4,-1
1,2,-1,-1
1,3,5,-1
1,3,4,-1
1,3,5,-1
1,3,5,-1
1,3,5,-1
